control_id,framework,description,guidance,combined_text,priority,implementation_status,control_family,combined_text_length
AU-07 (01),GovRAMP,AUDIT AND ACCOUNTABILITY,Audit Record Reduction and Report Generation | Automatic Processing,"AUDIT AND ACCOUNTABILITY Audit Record Reduction and Report Generation | Automatic Processing Provide and implement the capability to process, sort, and search audit records for events of interest based on the following content: [Assignment: organization-defined fields within audit records]. Events of interest can be identified by the content of audit records, including system resources involved, information objects accessed, identities of individuals, event types, event locations, event dates and times, Internet Protocol addresses involved, or event success or failure. Organizations may define event criteria to any degree of granularity required, such as locations selectable by a general networking location or by specific system component.",Medium,Not Implemented,AU,749
AU-11,GovRAMP,AUDIT AND ACCOUNTABILITY,Audit Record Retention,"AUDIT AND ACCOUNTABILITY Audit Record Retention Retain audit records for [Assignment: organization-defined time period consistent with records retention policy] to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements. Organizations retain audit records until it is determined that the records are no longer needed for administrative, legal, audit, or other operational purposes. This includes the retention and availability of audit records relative to Freedom of Information Act (FOIA) requests, subpoenas, and law enforcement actions. Organizations develop standard categories of audit records relative to such types of actions and standard response processes for each type of action. The National Archives and Records Administration (NARA) General Records Schedules provide federal policy on records retention. AU-11 [a time period in compliance with government requirements] AU-11 Requirement: The service provider retains audit records on-line for at least ninety days and further preserves audit records off-line for a period that is in accordance with NARA requirements.",Medium,Not Implemented,AU,1164
CM-02,GovRAMP,CONFIGURATION MANAGEMENT,Baseline Configuration,"CONFIGURATION MANAGEMENT Baseline Configuration a. Develop, document, and maintain under configuration control, a current baseline configuration of the system; and
 b. Review and update the baseline configuration of the system:
 1. [Assignment: organization-defined frequency];
 2. When required due to [Assignment: organization-defined circumstances]; and
 3. When system components are installed or upgraded. Baseline configurations for systems and system components include connectivity, operational, and communications aspects of systems. Baseline configurations are documented, formally reviewed, and agreed-upon specifications for systems or configuration items within those systems. Baseline configurations serve as a basis for future builds, releases, or changes to systems and include security and privacy control implementations, operational procedures, information about system components, network topology, and logical placement of components in the system architecture. Maintaining baseline configurations requires creating new baselines as organizational systems change over time. Baseline configurations of systems reflect the current enterprise architecture. CM-2 (b) (1) [at least annually and when a significant change occurs]
CM-2 (b) (2) [to include when directed by the SAC] CM-2 (b) (1) Guidance: Significant change is defined in NIST Special Publication 800-37 Revision 2, Appendix F.",Medium,Not Implemented,CM,1407
CM-02 (02),GovRAMP,CONFIGURATION MANAGEMENT,Baseline Configuration | Automation Support for Accuracy and Currency,"CONFIGURATION MANAGEMENT Baseline Configuration | Automation Support for Accuracy and Currency Maintain the currency, completeness, accuracy, and availability of the baseline configuration of the system using [Assignment: organization-defined automated mechanisms]. Automated mechanisms that help organizations maintain consistent baseline configurations for systems include configuration management tools, hardware, software, firmware inventory tools, and network management tools. Automated tools can be used at the organization level, mission and business process level, or system level on workstations, servers, notebook computers, network components, or mobile devices. Tools can be used to track version numbers on operating systems, applications, types of software installed, and current patch levels. Automation support for accuracy and currency can be satisfied by the implementation of CM-8 (2) for organizations that combine system component inventory and baseline configuration activities.",Medium,Not Implemented,CM,1001
CM-04,GovRAMP,CONFIGURATION MANAGEMENT,Analyze changes to the system to determine potential security and privacy impacts prior to change implementation.,"CONFIGURATION MANAGEMENT Analyze changes to the system to determine potential security and privacy impacts prior to change implementation. Organizational personnel with security or privacy responsibilities conduct impact analyses. Individuals conducting impact analyses possess the necessary skills and technical expertise to analyze the changes to systems as well as the security or privacy ramifications. Impact analyses include reviewing security and privacy plans, policies, and procedures to understand control requirements; reviewing system design documentation and operational procedures to understand control implementation and how specific system changes might affect the controls; reviewing the impact of changes on organizational supply chain partners with stakeholders; and determining how potential changes to a system create new risks to the privacy of individuals and the ability of implemented controls to mitigate those risks. Impact analyses also include risk assessments to understand the impact of the changes and determine if additional controls are required.",Medium,Not Implemented,CM,1080
CM-05,GovRAMP,CONFIGURATION MANAGEMENT,Access Restrictions for Change,"CONFIGURATION MANAGEMENT Access Restrictions for Change Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system. Changes to the hardware, software, or firmware components of systems or the operational procedures related to the system can potentially have significant effects on the security of the systems or individuals’ privacy. Therefore, organizations permit only qualified and authorized individuals to access systems for purposes of initiating changes. Access restrictions include physical and logical access controls (see AC-3 and PE-3), software libraries, workflow automation, media libraries, abstract layers (i.e., changes implemented into external interfaces rather than directly into systems), and change windows (i.e., changes occur only during specified times).",Medium,Not Implemented,CM,838
CM-05 (01),GovRAMP,CONFIGURATION MANAGEMENT,Access Restrictions for Change | Automated Access Enforcement and Audit Records,"CONFIGURATION MANAGEMENT Access Restrictions for Change | Automated Access Enforcement and Audit Records (a) Enforce access restrictions using [Assignment: organization-defined automated mechanisms]; and 
 (b) Automatically generate audit records of the enforcement actions. Organizations log system accesses associated with applying configuration changes to ensure that configuration change control is implemented and to support after-the-fact actions should organizations discover any unauthorized changes.",Medium,Not Implemented,CM,508
CM-05 (05),GovRAMP,CONFIGURATION MANAGEMENT,Access Restrictions for Change | Privilege Limitation for Production and Operation,"CONFIGURATION MANAGEMENT Access Restrictions for Change | Privilege Limitation for Production and Operation (a) Limit privileges to change system components and system-related information within a production or operational environment; and
 (b) Review and reevaluate privileges [Assignment: organization-defined frequency]. In many organizations, systems support multiple mission and business functions. Limiting privileges to change system components with respect to operational systems is necessary because changes to a system component may have far-reaching effects on mission and business processes supported by the system. The relationships between systems and mission/business processes are, in some cases, unknown to developers. System-related information includes operational procedures. CM-5 (5) (b) [at least quarterly]",Medium,Not Implemented,CM,829
CM-06,GovRAMP,CONFIGURATION MANAGEMENT,Configuration Settings,"CONFIGURATION MANAGEMENT Configuration Settings a. Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using [Assignment: organization-defined common secure configurations];
 b. Implement the configuration settings;
 c. Identify, document, and approve any deviations from established configuration settings for [Assignment: organization-defined system components] based on [Assignment: organization-defined operational requirements]; and
 d. Monitor and control changes to the configuration settings in accordance with organizational policies and procedures. Configuration settings are the parameters that can be changed in the hardware, software, or firmware components of the system that affect the security and privacy posture or functionality of the system. Information technology products for which configuration settings can be defined include mainframe computers, servers, workstations, operating systems, mobile devices, input/output devices, protocols, and applications. Parameters that impact the security posture of systems include registry settings; account, file, or directory permission settings; and settings for functions, protocols, ports, services, and remote connections. Privacy parameters are parameters impacting the privacy posture of systems, including the parameters required to satisfy other privacy controls. Privacy parameters include settings for access controls, data processing preferences, and processing and retention permissions. Organizations establish organization-wide configuration settings and subsequently derive specific configuration settings for systems. The established settings become part of the configuration baseline for the system.
 Common secure configurations (also known as security configuration checklists, lockdown and hardening guides, and security reference guides) provide recognized, standardized, and established benchmarks that stipulate secure configuration settings for information technology products and platforms as well as instructions for configuring those products or platforms to meet operational requirements. Common secure configurations can be developed by a variety of organizations, including information technology product developers, manufacturers, vendors, federal agencies, consortia, academia, industry, and other organizations in the public and private sectors.
 Implementation of a common secure configuration may be mandated at the organization level, mission and business process level, system level, or at a higher level, including by a regulatory agency. Common secure configurations include the United States Government Configuration Baseline USGCB and security technical implementation guides (STIGs), which affect the implementation of CM-6 and other controls such as AC-19 and CM-7. The Security Content Automation Protocol (SCAP) and the defined standards within the protocol provide an effective method to uniquely identify, track, and control configuration settings. CM-6 (a) Requirement 1:  The service provider shall use the DoD STIGs to establish configuration settings; Center for Internet Security up to Level 2 (CIS Level 2) guidelines shall be used if STIGs are not available; Custom baselines shall be used if CIS is not available.
CM-6 (a) Requirement 2: The service provider shall ensure that checklists for configuration settings are Security Content Automation Protocol (SCAP) validated or SCAP compatible (if validated checklists are not available).

CM-6 Guidance: Compliance checks are used to evaluate configuration settings and provide general insight into the overall effectiveness of configuration management activities. SPs and 3PAOs typically combine compliance check findings into a single CM-6 finding, which is acceptable. However, for initial assessments, annual assessments, and significant change requests, StateRAMP requires a clear understanding, on a per-control basis, where risks exist. Therefore, 3PAOs must also analyze compliance check findings as part of the controls assessment. Where a direct mapping exists, the 3PAO must document additional findings per control in the corresponding SAR Risk Exposure Table (RET), which are then documented in the SP’s Plan of Action and Milestones (POA&M). This will likely result in the details of individual control findings overlapping with those in the combined CM-6 finding, which is acceptable.
During monthly continuous monitoring, new findings from SP compliance checks may be combined into a single CM-6 POA&M item. SPs are not required to map the findings to specific controls because controls are only assessed during initial assessments, annual assessments, and significant change requests.",Medium,Not Implemented,CM,4785
CM-06 (01),GovRAMP,CONFIGURATION MANAGEMENT,"Configuration Settings | Automated Management, Application, and Verification","CONFIGURATION MANAGEMENT Configuration Settings | Automated Management, Application, and Verification Manage, apply, and verify configuration settings for [Assignment: organization-defined system components] using [Assignment: organization-defined automated mechanisms]. Automated tools (e.g., hardening tools, baseline configuration tools) can improve the accuracy, consistency, and availability of configuration settings information. Automation can also provide data aggregation and data correlation capabilities, alerting mechanisms, and dashboards to support risk-based decision-making within the organization.",Medium,Not Implemented,CM,614
CM-08,GovRAMP,CONFIGURATION MANAGEMENT,System Component Inventory,"CONFIGURATION MANAGEMENT System Component Inventory a. Develop and document an inventory of system components that:
 1. Accurately reflects the system;
 2. Includes all components within the system;
 3. Does not include duplicate accounting of components or components assigned to any other system;
 4. Is at the level of granularity deemed necessary for tracking and reporting; and
 5. Includes the following information to achieve system component accountability: [Assignment: organization-defined information deemed necessary to achieve effective system component accountability]; and
 b. Review and update the system component inventory [Assignment: organization-defined frequency]. System components are discrete, identifiable information technology assets that include hardware, software, and firmware. Organizations may choose to implement centralized system component inventories that include components from all organizational systems. In such situations, organizations ensure that the inventories include system-specific information required for component accountability. The information necessary for effective accountability of system components includes the system name, software owners, software version numbers, hardware inventory specifications, software license information, and for networked components, the machine names and network addresses across all implemented protocols (e.g., IPv4, IPv6). Inventory specifications include date of receipt, cost, model, serial number, manufacturer, supplier information, component type, and physical location.
 Preventing duplicate accounting of system components addresses the lack of accountability that occurs when component ownership and system association is not known, especially in large or complex connected systems. Effective prevention of duplicate accounting of system components necessitates use of a unique identifier for each component. For software inventory, centrally managed software that is accessed via other systems is addressed as a component of the system on which it is installed and managed. Software installed on multiple organizational systems and managed at the system level is addressed for each individual system and may appear more than once in a centralized component inventory, necessitating a system association for each software instance in the centralized inventory to avoid duplicate accounting of components. Scanning systems implementing multiple network protocols (e.g., IPv4 and IPv6) can result in duplicate components being identified in different address spaces. The implementation of CM-8 (7) can help to eliminate duplicate accounting of components. CM-8 (b) [at least monthly] CM-8 Requirement: must be provided at least monthly or when there is a change.",Medium,Not Implemented,CM,2760
CM-09,GovRAMP,CONFIGURATION MANAGEMENT,Configuration Management Plan,"CONFIGURATION MANAGEMENT Configuration Management Plan Develop, document, and implement a configuration management plan for the system that:
 a. Addresses roles, responsibilities, and configuration management processes and procedures;
 b. Establishes a process for identifying configuration items throughout the system development life cycle and for managing the configuration of the configuration items;
 c. Defines the configuration items for the system and places the configuration items under configuration management;
 d. Is reviewed and approved by [Assignment: organization-defined personnel or roles]; and
 e. Protects the configuration management plan from unauthorized disclosure and modification. Configuration management activities occur throughout the system development life cycle. As such, there are developmental configuration management activities (e.g., the control of code and software libraries) and operational configuration management activities (e.g., control of installed components and how the components are configured). Configuration management plans satisfy the requirements in configuration management policies while being tailored to individual systems. Configuration management plans define processes and procedures for how configuration management is used to support system development life cycle activities.
 Configuration management plans are generated during the development and acquisition stage of the system development life cycle. The plans describe how to advance changes through change management processes; update configuration settings and baselines; maintain component inventories; control development, test, and operational environments; and develop, release, and update key documents.
 Organizations can employ templates to help ensure the consistent and timely development and implementation of configuration management plans. Templates can represent a configuration management plan for the organization with subsets of the plan implemented on a system by system basis. Configuration management approval processes include the designation of key stakeholders responsible for reviewing and approving proposed changes to systems, and personnel who conduct security and privacy impact analyses prior to the implementation of changes to the systems. Configuration items are the system components, such as the hardware, software, firmware, and documentation to be configuration-managed. As systems continue through the system development life cycle, new configuration items may be identified, and some existing configuration items may no longer need to be under configuration control. CM-9 Guidance: StateRAMP does not provide a template for the Configuration Management Plan. However, NIST SP 800-128, Guide for Security-Focused Configuration Management of Information Systems, provides guidelines for the implementation of CM controls as well as a sample CMP outline in Appendix D of the Guide",Medium,Not Implemented,CM,2936
